Name,positive_ratio,total_reviews
Overlord Movie: Ple Ple Pleiades,0.0,0
Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,1.0,1
Pretty Rhythm: Aurora Dream - Prism Shougekijou,0.0,0
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,0.4892086330935252,139
Sakura Taisen,0.5714285714285714,7
Shirobako Specials,1.0,3
Sasaki to Pii-chan,0.4444444444444444,36
Sword Art Online Movie: Ordinal Scale - Sword Art Offline,0.0,2
Wata no Kuni Hoshi,0.3333333333333333,3
Yi Ren Zhi Xia 3: Rushi Pian,0.0,2
Kirakira☆Precure A La Mode Movie: Paritto! Omoide no Mille-Feuille!,0.0,0
You Shou Yan 2nd Season,0.0,0
Tegamibachi: Omakebachi,0.0,0
To Heart 2 OVA,1.0,1
Sumomomo Momomo: Chijou Saikyou no Yome,0.3,10
Shin Angyo Onshi,0.5,6
Zetman,0.5806451612903226,31
Toaru Kagaku no Railgun T: Motto Marutto Railgun,1.0,2
Toku: Touken Ranbu - Hanamaru - Setsugetsuka,0.0,0
Xi Xing Ji: Suming Pian,0.0,0
Xing Hai Qishi,0.3333333333333333,3
Wangu Xian Qiong,0.5,4
Yaku nara Mug Cup mo: Niban Gama,0.25,4
Yi Ren Zhi Xia 5th season,1.0,1
Clamp Gakuen Tanteidan,0.6666666666666666,3
Yama no Susume,0.7391304347826086,23
Cobra The Animation: Time Drive,0.5,2
Chikyuugai Shounen Shoujo,0.5454545454545454,33
Dagashi Kashi 2,0.6551724137931034,29
Digimon Frontier: Ornismon Fukkatsu!!,0.5,2
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,0.5,6
Devil Survivor 2 The Animation,0.5882352941176471,51
Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,0.7142857142857143,7
Fate/stay night TV Reproduction,0.5714285714285714,7
Great Pretender: Razbliuto,0.3333333333333333,9
Devils Line,0.44086021505376344,93
Hi no Tori: Houou-hen,0.3333333333333333,3
Hirune Hime: Shiranai Watashi no Monogatari,0.6111111111111112,18
Hyakujuu-Ou GoLion,0.3333333333333333,3
Ichigo 100% OVA,0.3333333333333333,3
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Opening Ending Encyclopedia,1.0,99
Kero 0: Shuppatsu da yo! Zenin Shuugou!,0.0,0
Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi,0.5,2
Jiu Tian Xuan Di Jue,0.6666666666666666,3
Kiddy GiRL-AND,0.625,8
Juubee-chan 2: Siberia Yagyuu no Gyakushuu,0.0,4
Jitsu wa Watashi wa,0.5813953488372093,43
Kobato.: Hajimete no Kobato.,1.0,1
Koi to Senkyo to Chocolate: Koi Imouto!,1.0,1
Mirai Keisatsu Urashiman,0.5,2
Majimoji Rurumo,0.3333333333333333,12
Mato Seihei no Slave,0.3673469387755102,49
Misaki no Mayoiga,0.3333333333333333,3
Mokke Specials,0.0,0
Nakanohito Genome [Jikkyouchuu]: Knots of Memories,1.0,1
Overlord: Ple Ple Pleiades 2,1.0,1
Omamori Himari,0.4857142857142857,35
Pokemon Crystal: Raikou Ikazuchi no Densetsu,1.0,1
Rilakkuma to Yuuenchi,0.0,0
Senkou no Night Raid,0.6666666666666666,12
Senkou no Night Raid Specials,1.0,1
Ryuuou no Oshigoto!,0.42105263157894735,38
Juushin Enbu: Hero Tales,0.5555555555555556,9
Kawaisugi Crisis,0.8,5
Kurokami: Tora to Tsubasa,1.0,1
Mugen no Juunin,0.3684210526315789,19
Kantai Collection: KanColle,0.45454545454545453,66
Nyani ga Nyandaa Nyandaa Kamen,0.0,0
Kimi no Iru Machi,0.4411764705882353,68
One Piece: Densetsu no Log! Akagami no Shanks!,1.0,1
Kingdom Hearts χ Back Cover,0.0,515
Shaonian Ge Xing: Feng Hua Xue Yue Pian Special,0.0,0
Qin Shi Mingyue: Junlin Tianxia,0.0,0
Ookami Shoujo to Kuro Ouji Recap,0.0,0
Sakura Taisen: Gouka Kenran,0.0,1
Queen Emeraldas,0.75,4
Shaonu Qianxian: Renxing Xiao Juchang 2,0.5,2
Shen Wu Tianzun,0.0,0
Shi Fang Wu Sheng,0.0,1
Shutsugeki! Machine Robo Rescue,1.0,1
Soukyuu no Fafner: Dead Aggressor - Behind the Line,0.0,0
Sword Art Online: Alicization - Recollection,0.6666666666666666,3
To Heart 2 AD,0.0,0
Touch: Cross Road - Kaze no Yukue,1.0,3
Uchuusen Sagittarius,0.0,0
Warau Salesman,0.5,6
Touken Ranbu: Hanamaru,0.5714285714285714,21
Toaru Majutsu no Index III,0.3559322033898305,59
ACCA: 13-ku Kansatsu-ka Specials,0.6666666666666666,3
Yi Ren Zhi Xia,0.5428571428571428,35
Anime 80-nichikan Sekai Isshuu,1.0,1
Zombie-Loan,0.46511627906976744,43
Akkun to Kanojo,0.5714285714285714,28
Boku no Hero Academia (ONA),1.0,8
