Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Juugo Shounen Hyouryuuki,Adrift in the Pacific,5.91,13781,9921,955,TV Special,1,Finished Airing,22-Aug-82,,,"None found, add some","None found, add some",Toei Animation,Novel,"Adventure, Drama",1 hr. 3 min.,G - All Ages,0,Historical,
Kami wa Game ni Ueteiru.,Gods' Game We Play,5.91,2823,9922,61,TV,13,Currently Airing,"Apr 1, 2024 to Jun 24, 2024",Spring 2024,Mondays at 21:30 (JST),"Pony Canyon,       AT-X,       Ultra Super Pictures,       Sammy,       bilibili,       Crunchyroll,       Kadokawa,       Bit grooove promotion","None found, add some",LIDENFILMS,Light novel,"Fantasy, Suspense, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,197,"High Stakes Game, Strategy Game",
Kamisama Dolls Specials,,5.91,7505,9923,6,Special,6,Finished Airing,"Sep 21, 2011 to Feb 22, 2012",,,"None found, add some",Sentai Filmworks,Brain's Base,Manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,1,,
Kerokero Keroppi no Aladdin to Mahou no Lamp,Keroppi in Aladdin and the Magic Lamp,5.91,16316,9924,486,OVA,1,Finished Airing,23-Nov-01,,,Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,15 min.,G - All Ages,0,,Kids
Kimi wa Kanata,Over the Sky,5.91,2608,9925,70,Movie,1,Finished Airing,27-Nov-20,,,CUCURI,"None found, add some",Saber Works,Original,"Drama, Fantasy",1 hr. 35 min.,PG-13 - Teens 13 or older,184,Isekai,
Marine Snow no Densetsu,The Legend of Marine Snow,5.91,12825,9926,1,TV Special,1,Finished Airing,12-Aug-80,,,"None found, add some","None found, add some","None found, add some",Unknown,Sci-Fi,1 hr. 34 min.,G - All Ages,1,,
Meitantei Conan: Jomon Taiken Yatte Miyou!,Detective Conan: Let's Experience the Jomon Period!,5.91,10919,9927,2,OVA,1,Finished Airing,25-Jun-99,,,"None found, add some","None found, add some","None found, add some",Manga,,15 min.,PG-13 - Teens 13 or older,1,Historical,Kids
Mijikamon Episode 0,,5.91,9214,9928,4,ONA,1,Finished Airing,07-Mar-14,,,"None found, add some","None found, add some",Kinema Citrus,Manga,Comedy,2 min.,G - All Ages,0,,
Neko Ramen: Ore no Shouyu Aji,,5.91,14817,9929,694,ONA,13,Finished Airing,2008,,,Think Corporation,"None found, add some","None found, add some",4-koma manga,"Comedy, Gourmet",2 min. per ep.,G - All Ages,1,"Anthropomorphic, Gag Humor, Workplace",
Neko to Wakai se na,,5.91,13385,9930,1,ONA,1,Finished Airing,22-Mar-23,,,TOHO animation,"None found, add some","None found, add some",Original,Slice of Life,5 min.,PG-13 - Teens 13 or older,0,,
