Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Haha wo Tazunete Sanzenri,,7.44,6068,2070,11,TV,52,Finished Airing,"Jan 4, 1976 to Dec 26, 1976","None found, add some","None found, add some",Nippon Animation,Book,"Adventure, Drama, Slice of Life",26 min. per ep.,G - All Ages,53,Winter 1976,Sundays at 19:30 (JST),Historical,
Hetalia World Series,,7.44,1952,2071,111,ONA,48,Finished Airing,"Mar 26, 2010 to Mar 11, 2011",Frontier Works,Funimation,Studio Deen,Web manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,818,,,"Anthropomorphic, Gag Humor, Historical, Parody",
Hetalia World Series Specials,Hetalia World Series Extra Episodes,7.44,4488,2072,24,Special,4,Finished Airing,"Mar 25, 2011 to Sep 24, 2012",Frontier Works,Funimation,Studio Deen,Web manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,36,,,"Historical, Parody",
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,Inazuma Eleven GO: The Ultimate Bond Griffon,7.44,4996,2073,19,Movie,1,Finished Airing,"Dec 23, 2011","Studio Jack,       Dentsu Tec","None found, add some",OLM,Game,"Sci-Fi, Sports",1 hr. 30 min.,G - All Ages,25,,,"Super Power, Team Sports",
Joshiraku,,7.44,1340,2074,180,TV,13,Finished Airing,"Jul 6, 2012 to Sep 28, 2012","Starchild Records,       Mainichi Broadcasting System,       Kodansha,       KlockWorx",Maiden Japan,J.C.Staff,Manga,Comedy,24 min. per ep.,PG-13 - Teens 13 or older,761,Summer 2012,Unknown,"Adult Cast, CGDCT, Gag Humor, Parody, Performing Arts",Shounen
Juan Siliang,The Island of Siliang,7.44,10851,2075,2,ONA,15,Finished Airing,"Jun 14, 2021 to Sep 13, 2021",Tencent Penguin Pictures,"None found, add some","Wulifang,       Year Young Culture",Original,"Action, Fantasy",20 min. per ep.,PG-13 - Teens 13 or older,53,,,,
Kamichu! Specials,The Goddess is a Middle School Student,7.44,6016,2077,11,Special,4,Finished Airing,"Nov 23, 2005 to Mar 29, 2006","None found, add some",Geneon Entertainment USA,Brain's Base,Original,"Slice of Life, Supernatural",27 min. per ep.,PG - Children,3,,,"Iyashikei, Mythology, School",
K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,"K: SEVEN STORIES ""Lost Small World - Outside the Cage - """,7.44,4796,2076,21,Movie,1,Finished Airing,"Oct 6, 2018","None found, add some",VIZ Media,GoHands,Light novel,"Action, Supernatural",1 hr. 6 min.,PG-13 - Teens 13 or older,34,,,Super Power,
Lady Jewelpet,,7.44,5998,2080,11,TV,52,Finished Airing,"Apr 5, 2014 to Mar 28, 2015","TV Tokyo,       Sotsu,       MediaNet,       Sanrio,       Miracle Bus","None found, add some","Studio Comet,       Zexcs",Original,"Fantasy, Romance",25 min. per ep.,PG - Children,106,Spring 2014,Unknown,"Anthropomorphic, Mahou Shoujo",
Kiratto Pri☆chan Season 2,,7.44,9774,2079,3,TV,51,Finished Airing,"Apr 7, 2019 to Mar 29, 2020","None found, add some","None found, add some",Tatsunoko Production,Game,"Comedy, Slice of Life",24 min. per ep.,PG - Children,32,Spring 2019,Sundays at 10:00 (JST),"Idols (Female), Music",
Mahou Shoujo Lyrical Nanoha: Reflection,Magical Girl Lyrical Nanoha Reflection,7.44,5564,2081,14,Movie,1,Finished Airing,"Jul 22, 2017",Shochiku,Discotek Media,Seven Arcs Pictures,Original,"Action, Drama, Sci-Fi",1 hr. 51 min.,PG-13 - Teens 13 or older,37,,,Mahou Shoujo,
Motto! Ojamajo Doremi,,7.44,4663,2082,22,TV,50,Finished Airing,"Feb 4, 2001 to Jan 27, 2002",Asahi Broadcasting,"None found, add some",Toei Animation,Original,"Comedy, Fantasy",24 min. per ep.,G - All Ages,147,Winter 2001,Unknown,Mahou Shoujo,
Nozomanu Fushi no Boukensha,The Unwanted Undead Adventurer,7.44,1726,2083,131,TV,12,Finished Airing,"Jan 8, 2024 to Mar 25, 2024","Marvelous Entertainment,       Pony Canyon,       Hakuhodo DY Music & Pictures,       Docomo Anime Store,       Overlap,       BS NTV,       Bit grooove promotion,       Natsume Atari","None found, add some",Connect,Light novel,"Action, Adventure, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,565,Winter 2024,Mondays at 21:00 (JST),,
Omoide Poroporo,Only Yesterday,7.44,1561,2085,148,Movie,1,Finished Airing,"Jul 20, 1991",Tokuma Shoten,GKIDS,Studio Ghibli,Manga,"Drama, Romance",1 hr. 58 min.,G - All Ages,"1,191",,,,Josei
Oooku,Ōoku: The Inner Chambers,7.44,4532,2087,23,ONA,10,Finished Airing,"Jun 29, 2023",Netflix,"None found, add some",Studio Deen,Manga,Drama,31 min. per ep.,R - 17+ (violence & profanity),145,,,"Historical, Samurai",Shoujo
