Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Uchuu Kyoudai: Apo's Dream,Space Brothers: Apo's Dream,5.31,9093,12128,4,OVA,1,Finished Airing,"Mar 23, 2012",Milky Cartoon,"None found, add some","None found, add some",Manga,"Comedy, Sci-Fi","Pets, Space",16 min.,PG - Children,1,,,
Youkoso Boku desu,Welcome. It's me,5.31,18714,12129,299,Movie,1,Finished Airing,"Sep 15, 2011",Tamabi,"None found, add some","None found, add some",Original,"Avant Garde, Comedy",Music,9 min.,PG-13 - Teens 13 or older,0,,,
Zounds,,5.31,17482,12130,387,Movie,1,Finished Airing,2003,"None found, add some","None found, add some","None found, add some",Original,,Music,4 min.,G - All Ages,0,,,
Virtual Star 2000,,5.30,15004,12132,665,OVA,6,Finished Airing,"Apr 19, 2000",Pony Canyon,"None found, add some","None found, add some",Unknown,Action,Music,5 min. per ep.,R+ - Mild Nudity,0,,,
Toyama Kankou Anime Project,Toyama Tourism Anime Project,5.30,12541,12131,1,Special,6,Finished Airing,"Jun 17, 2009 to Jun 25, 2009",The Berich,"None found, add some",P.A. Works,Original,Slice of Life,Historical,5 min. per ep.,G - All Ages,2,,,
W: Wish Omake,,5.30,11725,12133,1,Special,4,Finished Airing,"Feb 25, 2005 to Aug 26, 2005","None found, add some","None found, add some","Trinet Entertainment,       Picture Magic",Visual novel,,"Harem, School",2 min. per ep.,R+ - Mild Nudity,0,Seinen,,
"Wake Up, Girl Zoo! Taiwan de Go!",,5.30,13470,12134,1,Special,1,Finished Airing,"Feb 4, 2017","None found, add some","None found, add some",Karasfilms,Original,Comedy,,1 min.,G - All Ages,0,,,
Ya-Ne-Sen a Go Go,,5.30,14842,12135,690,Movie,1,Finished Airing,"Feb 3, 2011","None found, add some","None found, add some","None found, add some",Original,,Music,1 min.,G - All Ages,0,,,
Yoshichirou no Keirei,Yoshichiro Salutes,5.30,16145,12136,505,Movie,1,Finished Airing,1933,"None found, add some","None found, add some","None found, add some",Original,,"Historical, Samurai",11 min.,G - All Ages,2,,,
Yuki no Yoru no Yume,Dream of a Snowy Night,5.30,15370,12137,604,Movie,1,Finished Airing,1947,"None found, add some","None found, add some","None found, add some",Music,Drama,,8 min.,G - All Ages,0,,,
Zettai Junpaku♡Mahou Shoujo,,5.30,4954,12138,19,OVA,1,Finished Airing,"Aug 12, 2012","Active,       Barnum Studio","None found, add some",Project No.9,Manga,"Action, Fantasy, Ecchi","Harem, Mahou Shoujo",5 min.,R+ - Mild Nudity,86,,,
2.43: Seiin Koukou Danshi Volley-bu Mini Anime,,5.30,11627,12139,1,ONA,8,Finished Airing,"Nov 1, 2020 to Nov 27, 2020","None found, add some","None found, add some","None found, add some",Novel,"Slice of Life, Sports",Team Sports,1 min. per ep.,PG-13 - Teens 13 or older,1,,,
Abashiri Ikka,,5.30,8641,12140,4,OVA,4,Finished Airing,"May 21, 1991 to Nov 21, 1991",Dynamic Planning,ADV Films,Pierrot,Manga,"Action, Comedy, Ecchi",Martial Arts,18 min. per ep.,R+ - Mild Nudity,7,Shounen,,
Blame! Special,,5.30,6711,12141,9,Special,1,Finished Airing,"Oct 24, 2003","None found, add some","None found, add some",Group TAC,Manga,"Action, Sci-Fi",Mecha,4 min.,PG-13 - Teens 13 or older,4,,,
Business Fish,,5.30,9350,12142,3,TV,6,Finished Airing,"Jul 8, 2019 to Aug 12, 2019",TOHO animation,"None found, add some","None found, add some",Original,"Comedy, Slice of Life",Workplace,24 min. per ep.,PG-13 - Teens 13 or older,10,,Summer 2019,Mondays at 00:00 (JST)
Cornelis,,5.30,15894,12143,534,Movie,1,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Unknown,Comedy,,4 min.,G - All Ages,0,,,
Delpower X Bakuhatsu Miracle Genki!,,5.30,11187,12144,2,OVA,1,Finished Airing,"Dec 21, 1986",Nippon Columbia,"None found, add some",Big Bang,Original,"Action, Comedy, Sci-Fi","Mecha, Parody, School",42 min.,PG-13 - Teens 13 or older,1,,,
Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle,Butt Attack Punisher Girl Gautaman R,5.30,9444,12145,3,OVA,1,Finished Airing,"Oct 24, 1994",All Products,"None found, add some",Studio Kikan,Manga,"Action, Comedy, Girls Love, Ecchi","Parody, School",46 min.,R+ - Mild Nudity,0,,,
Hoshikuzu Paradise,,5.30,12374,12146,1,OVA,1,Finished Airing,"Jul 25, 1991",OB Planning,"None found, add some",Pastel,Unknown,"Comedy, Romance",,41 min.,PG-13 - Teens 13 or older,0,,,
Mushiba Tetsudou,,5.30,16341,12147,484,Movie,1,Finished Airing,2009,VAP,"None found, add some","None found, add some",Original,"Adventure, Fantasy",,11 min.,G - All Ages,0,Kids,,
Notation of Rotating Earth,,5.30,18161,12148,335,Movie,1,Finished Airing,"Sep 20, 2009","None found, add some","None found, add some","None found, add some",Original,,Music,5 min.,G - All Ages,0,,,
PostPet Momobin,,5.30,15623,12149,564,TV,24,Finished Airing,"Jul 4, 2004 to Jan 9, 2005","None found, add some","None found, add some","None found, add some",Unknown,Comedy,,3 min. per ep.,G - All Ages,0,Kids,Summer 2004,Unknown
Sakura Yori Ai wo Nosete,From Cherry Blossoms With Love,5.30,17300,12150,401,Movie,1,Finished Airing,1976,"None found, add some","None found, add some","None found, add some",Original,,,2 min.,G - All Ages,0,Kids,,
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou (ONA)",,5.29,17407,12151,393,ONA,2,Finished Airing,"Jul 5, 2015 to Jul 30, 2015","None found, add some","None found, add some","None found, add some",Radio,Comedy,Racing,3 min. per ep.,G - All Ages,0,,,
Line,,5.29,19305,12152,266,Movie,1,Finished Airing,1989,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,4 min.,G - All Ages,0,,,
Maku,,5.29,15645,12153,562,Movie,1,Finished Airing,"Aug 25, 2014","None found, add some","None found, add some","None found, add some",Original,Avant Garde,Music,5 min.,G - All Ages,0,,,
Mini-Chara Macross,,5.29,12568,12154,1,Special,1,Finished Airing,"Aug 25, 2002","None found, add some","None found, add some","None found, add some",Original,Comedy,"Mecha, Parody",1 min.,G - All Ages,0,,,
