,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
101,Short Peace Opening,,6.18,7439,8565,7,Special,1,Finished Airing,"Jul 20, 2013","None found, add some",Sentai Filmworks,Sunrise,Original,"Fantasy, Sci-Fi, Supernatural",3 min.,G - All Ages,4,,,,
102,Sinbad: Mahou no Lamp to Ugoku Shima,Sinbad: The Magic Lamp and the Moving Islands,6.18,11693,8566,1,Movie,1,Finished Airing,"Jan 16, 2016","None found, add some","None found, add some",Nippon Animation,Original,Adventure,49 min.,G - All Ages,0,,,,
103,Sousei Kishi Gaiarth,,6.18,9348,8567,3,OVA,3,Finished Airing,"Apr 22, 1992 to Apr 28, 1993",Artmic,AnimEigo,"AIC,       Studio Kyuuma,       Big Bang",Original,"Action, Adventure, Fantasy, Sci-Fi",46 min. per ep.,PG-13 - Teens 13 or older,6,,,Mecha,
104,Suisei no Gargantia: Puchitto Furikaerintia,,6.18,9718,8568,3,Special,1,Finished Airing,"Sep 27, 2014",Bandai Visual,"None found, add some",Production I.G,Unknown,"Action, Adventure, Sci-Fi",5 min.,PG-13 - Teens 13 or older,2,,,Mecha,
105,Teekyuu 5 Specials,Teekyu 5 Specials,6.18,8650,8569,4,Special,2,Finished Airing,"Nov 27, 2015",Earth Star Entertainment,"None found, add some",Millepensee,Manga,"Comedy, Sports",2 min. per ep.,PG-13 - Teens 13 or older,1,,,School,Shounen
106,Topo Gigio,Return of Topo Gigio,6.18,11195,8570,2,TV,21,Finished Airing,"Apr 27, 1988 to Sep 21, 1988","None found, add some","None found, add some",Nippon Animation,Unknown,"Adventure, Comedy",26 min. per ep.,PG - Children,3,Spring 1988,Unknown,,Kids
107,Tsuki no Sango,Coral of the Moon,6.18,7960,8571,5,Movie,1,Finished Airing,"Dec 21, 2010","None found, add some","None found, add some",ufotable,Other,Drama,3 min.,G - All Ages,8,,,,
108,Uchuu no Kishi Tekkaman,Tekkaman,6.18,9421,8572,3,TV,26,Finished Airing,"Jul 2, 1975 to Dec 24, 1975","None found, add some","None found, add some",Tatsunoko Production,Original,"Action, Adventure, Sci-Fi",25 min. per ep.,G - All Ages,4,Summer 1975,Unknown,"Mecha, Space",
109,Wooser no Sono Higurashi,Wooser's Hand-to-Mouth Life,6.18,5958,8573,12,TV,12,Finished Airing,"Oct 3, 2012 to Dec 19, 2012","TV Tokyo,       Good Smile Company","None found, add some",SANZIGEN,Web manga,"Comedy, Fantasy, Slice of Life",4 min. per ep.,G - All Ages,23,Fall 2012,Wednesdays at 01:35 (JST),,
110,Suhoyojeong Michel,Michel,6.17,13981,8575,898,TV,26,Finished Airing,"Jun 6, 2003 to Dec 11, 2003",Iconix Entertainment,"None found, add some",DR Movie,Unknown,"Adventure, Fantasy",25 min. per ep.,PG - Children,0,Summer 2003,Unknown,,Kids
