,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
14,Galaxy Angel Rune,,6.21,7991,8385,5,TV,13,Finished Airing,"Oct 2, 2006 to Dec 25, 2006",Fall 2006,Mondays at 02:00 (JST),"Bandai Visual,       Lantis,       Broccoli,       Sunny Side Up",Bandai Visual USA,Satelight,Other,"Comedy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,4,,
15,Garo: Guren no Tsuki Special,Garo: Crimson Moon - The Butterfly of Time,6.21,9453,8386,3,Special,1,Finished Airing,"Jul 6, 2016",,,Pony Canyon,Funimation,MAPPA,Original,"Action, Fantasy",23 min.,PG-13 - Teens 13 or older,0,Mythology,
16,Get Ride! AMDriver,,6.21,10592,8387,2,TV,51,Finished Airing,"Apr 5, 2004 to Mar 28, 2005",Spring 2004,Mondays at 18:30 (JST),"Nihon Ad Systems,       Illumitoon Entertainment","None found, add some",Studio Deen,Unknown,"Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,5,Mecha,
17,Gin no Guardian,The Silver Guardian,6.21,1939,8388,112,TV,12,Finished Airing,"Apr 1, 2017 to Jun 17, 2017",Spring 2017,Saturdays at 21:00 (JST),Emon,Funimation,Haoliners Animation League,Web manga,"Adventure, Fantasy",13 min. per ep.,PG-13 - Teens 13 or older,130,,
18,Honoo no Labyrinth,Labyrinth Of Flames,6.21,6011,8389,11,OVA,2,Finished Airing,"Sep 25, 2000 to Dec 21, 2000",,,Bandai Visual,Central Park Media,Studio Fantasia,Original,"Comedy, Ecchi",32 min. per ep.,R+ - Mild Nudity,18,Samurai,
19,I'll/CKBC,,6.21,8129,8390,5,OVA,2,Finished Airing,"Dec 18, 2002 to Mar 26, 2003",,,"Aniplex,       SME Visual Works",Media Blasters,M.S.C,Manga,Sports,30 min. per ep.,PG-13 - Teens 13 or older,7,"School, Team Sports",Shounen
20,Jakusansei Million Arthur,,6.21,11509,8391,1,ONA,60,Finished Airing,"Nov 20, 2015 to Jun 13, 2018",,,Square Enix,"None found, add some",Gathering,Web manga,"Comedy, Fantasy, Ecchi",1 min. per ep.,PG-13 - Teens 13 or older,3,Parody,
21,Jian Xian Zai Ci,,6.21,14338,8392,812,ONA,36,Finished Airing,"May 21, 2022 to Sep 21, 2022",,,iQIYI,"None found, add some","Xing Yi Kai Chen,       Kuai Ying Hu Yu",Web novel,"Action, Comedy, Fantasy",12 min. per ep.,PG-13 - Teens 13 or older,3,"Isekai, Martial Arts, School",
22,Kasumin 3rd Season,,6.21,13709,8393,976,TV,26,Finished Airing,"Apr 9, 2003 to Oct 1, 2003",Spring 2003,Unknown,NHK,"None found, add some",OLM,Unknown,Fantasy,25 min. per ep.,PG - Children,1,,Kids
23,King of Prism All Stars: Prism Show☆Best Ten,,6.21,13864,8394,932,Movie,1,Finished Airing,"Jan 10, 2020",,,"None found, add some","None found, add some",Tatsunoko Production,Original,,1 hr. 5 min.,PG-13 - Teens 13 or older,1,"Idols (Male), Music",
24,Kung Fu Liaoli Niang,Kung Fu Cooking Girls,6.21,11453,8395,1,ONA,1,Finished Airing,"Jul 4, 2011",,,"None found, add some","None found, add some",Wolf Smoke Studio,Original,"Action, Fantasy, Gourmet, Ecchi",8 min.,PG-13 - Teens 13 or older,4,Martial Arts,
